sample-id,input,filtered,percentage of input passed filter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Year,Marker,Platform,Sample_target
M28S1,87978,85455,97.13,84346,66941,76.09,66769,75.89,22,mifish,NS,surface
M28S2,836495,816827,97.65,815540,771704,92.25,769912,92.04,22,mifish,NS,surface
M28S3,48670,47157,96.89,43649,33942,69.74,33942,69.74,22,mifish,NS,surface
M30B1,1330738,1297974,97.54,1291740,1156571,86.91,1151850,86.56,22,mifish,NS,bottom
M30B2,1394611,1364992,97.88,1364237,1289648,92.47,1284805,92.13,22,mifish,NS,bottom
M30B3,22336,21688,97.1,21346,2213,9.91,2213,9.91,22,mifish,NS,bottom
M30S1,1278533,1019006,79.7,1014300,559537,43.76,537731,42.06,22,mifish,NS,surface
M30S2,31599,30542,96.65,30374,12986,41.1,12986,41.1,22,mifish,NS,surface
M32B1,332957,205733,61.79,203859,104780,31.47,101012,30.34,22,mifish,NS,bottom
M32B2,7904,5100,64.52,4977,360,4.55,360,4.55,22,mifish,NS,bottom
M32B3,3652492,3549858,97.19,3542941,3186269,87.24,3107009,85.07,22,mifish,NS,bottom
M32S2,2423640,2365265,97.59,2364458,2203189,90.9,2185164,90.16,22,mifish,NS,surface
M32S3,2807438,2746676,97.84,2743218,2611978,93.04,2596589,92.49,22,mifish,NS,surface
PCR_blank_001,156,4,2.56,1,0,0.0,0,0.0,22,mifish,NS,blank
PCR_blank_002,2653,2595,97.81,2595,2595,97.81,2595,97.81,22,mifish,NS,blank
Sample-001,1650897,1408436,85.31,1398649,1371198,83.06,1297457,78.59,23,COI,NS,surface
Sample-002,1734434,1578845,91.03,1570620,1545323,89.1,1469150,84.7,23,COI,NS,surface
Sample-003,1704403,1316097,77.22,1305458,1277957,74.98,1216943,71.4,23,COI,NS,surface
Sample-004,2124232,1939509,91.3,1931561,1904678,89.66,1796878,84.59,23,COI,NS,surface
Sample-005,1872102,1706266,91.14,1696884,1662788,88.82,1537764,82.14,23,COI,NS,surface
Sample-006,1703789,1500571,88.07,1492273,1467816,86.15,1385471,81.32,23,COI,NS,surface
Sample-007,1236674,1115553,90.21,1108536,1090390,88.17,1041241,84.2,23,COI,NS,surface
Sample-008,1487730,1338142,89.95,1330853,1309553,88.02,1245753,83.74,23,COI,NS,surface
Sample-009,1822511,1672126,91.75,1664210,1635792,89.75,1531636,84.04,23,COI,NS,surface
Sample-010,1872630,1694678,90.5,1686130,1655343,88.4,1553962,82.98,23,COI,NS,surface
Sample-011,2158696,1957666,90.69,1948360,1911053,88.53,1757301,81.41,23,COI,NS,surface
Sample-012,1904109,1737775,91.26,1729336,1697526,89.15,1575987,82.77,23,COI,NS,surface
Sample-013,2011631,1846335,91.78,1838760,1814835,90.22,1728337,85.92,23,COI,NS,surface
Sample-014,2001208,1828379,91.36,1821942,1801303,90.01,1720691,85.98,23,COI,NS,surface
Sample-015,1765751,1605047,90.9,1597607,1575444,89.22,1497831,84.83,23,COI,NS,surface
Sample-016,1776747,1602880,90.21,1594831,1568966,88.31,1496650,84.24,23,COI,NS,surface
Sample-017,1900769,1713768,90.16,1704831,1674543,88.1,1568051,82.5,23,COI,NS,surface
Sample-018,2115708,1920150,90.76,1913104,1888760,89.27,1793490,84.77,23,COI,NS,surface
Sample-019,2289925,2072262,90.49,2064754,2037310,88.97,1929182,84.25,23,COI,NS,surface
Sample-020,2011385,1847549,91.85,1840655,1818214,90.4,1719008,85.46,23,COI,NS,surface
Sample-021,1669489,1521582,91.14,1515836,1496580,89.64,1410301,84.48,23,COI,NS,surface
Sample-022,2273660,2081022,91.53,2074292,2050570,90.19,1948439,85.7,23,COI,NS,surface
Sample-023,1449729,1302277,89.83,1296746,1280179,88.3,1226720,84.62,23,COI,NS,surface
Sample-024,1804345,1618359,89.69,1612234,1586715,87.94,1532200,84.92,23,COI,NS,surface
Sample-025,1440588,1158658,80.43,1151580,1129395,78.4,1069147,74.22,23,COI,NS,surface
Sample-026,1857185,1689399,90.97,1682319,1653547,89.04,1544274,83.15,23,COI,NS,surface
Sample-027,2463236,2144592,87.06,2135881,2103937,85.41,1980621,80.41,23,COI,NS,surface
Sample-028,1705614,1549085,90.82,1541191,1518256,89.02,1435133,84.14,23,COI,NS,surface
Sample-029,1895709,1735250,91.54,1727707,1703403,89.86,1608772,84.86,23,COI,NS,surface
Sample-030,2014781,1813581,90.01,1804876,1771359,87.92,1639937,81.4,23,COI,NS,surface
Sample-031,1639494,1012502,61.76,999332,965894,58.91,882587,53.83,23,COI,NS,surface
Sample-032,1423376,1213223,85.24,1202842,1170620,82.24,1068813,75.09,23,COI,NS,surface
Sample-033,1601039,1293973,80.82,1283596,1251106,78.14,1153676,72.06,23,COI,NS,surface
Sample-034,1796017,1630685,90.79,1624291,1602801,89.24,1506594,83.89,23,COI,NS,surface
Sample-035,2167370,1914511,88.33,1905529,1867055,86.14,1710222,78.91,23,COI,NS,surface
Sample-036,2503997,2202543,87.96,2194015,2160678,86.29,2010177,80.28,23,COI,NS,surface
Sample-037,1879019,1684615,89.65,1678336,1657056,88.19,1565165,83.3,23,COI,NS,surface
Sample-038,1143371,1015252,88.79,1010042,994500,86.98,943477,82.52,23,COI,NS,surface
Sample-039,1901529,1733557,91.17,1725396,1696114,89.2,1584982,83.35,23,COI,NS,surface
Sample-040,1399212,666862,47.66,655693,633137,45.25,596901,42.66,23,COI,NS,surface
Sample-041,1710099,1543931,90.28,1536302,1510852,88.35,1425891,83.38,23,COI,NS,surface
Sample-042,2084039,1732457,83.13,1725362,1701437,81.64,1615857,77.53,23,COI,NS,surface
Sample-043,2332123,2067453,88.65,2054194,2000838,85.79,1793934,76.92,23,COI,NS,surface
Sample-044,2271869,2050926,90.27,2040234,1997380,87.92,1818850,80.06,23,COI,NS,surface
Sample-045,2156684,1952691,90.54,1941339,1894411,87.84,1704948,79.05,23,COI,NS,surface
Sample-046,2804695,2545573,90.76,2534388,2487906,88.71,2347909,83.71,23,COI,NS,surface
Sample-047,1456234,626895,43.05,617858,603329,41.43,576178,39.57,23,COI,NS,surface
Sample-048,2126046,1852100,87.11,1843048,1810617,85.16,1722497,81.02,23,COI,NS,surface
Sample-049,1980449,1705948,86.14,1698317,1673775,84.51,1593419,80.46,23,COI,NS,surface
Sample-050,2187216,1981313,90.59,1973866,1948696,89.09,1868565,85.43,23,COI,NS,surface
Sample-051,2587547,2302040,88.97,2294778,2263621,87.48,2164930,83.67,23,COI,NS,surface
Sample-052,2150319,1931798,89.84,1924704,1897428,88.24,1772352,82.42,23,COI,NS,surface
Sample-053,1862989,1698954,91.2,1691505,1668072,89.54,1561012,83.79,23,COI,NS,surface
Sample-054,1998843,1740004,87.05,1733169,1710467,85.57,1605728,80.33,23,COI,NS,surface
Sample-055,1813707,1620112,89.33,1613753,1591967,87.77,1489971,82.15,23,COI,NS,surface
Sample-056,1715294,1525013,88.91,1517393,1494368,87.12,1392191,81.16,23,COI,NS,surface
Sample-057,1845475,1679617,91.01,1673145,1648198,89.31,1539787,83.44,23,COI,NS,surface
Sample-058,2063191,1711281,82.94,1702913,1674579,81.16,1567440,75.97,23,COI,NS,surface
Sample-059,2217100,2024316,91.3,2017092,1986296,89.59,1826987,82.4,23,COI,NS,surface
Sample-060,1983868,1801404,90.8,1791950,1763855,88.91,1625505,81.94,23,COI,NS,surface
Sample-061,1919964,1740332,90.64,1727840,1689949,88.02,1526808,79.52,23,COI,NS,surface
Sample-062,1728361,1556335,90.05,1546173,1514148,87.61,1374013,79.5,23,COI,NS,surface
Sample-063,1543724,1394376,90.33,1387175,1366985,88.55,1265498,81.98,23,COI,NS,surface
