Taxonomy,Species,Zone_1_2025 MS_MiM,Zone_2A_2025 MS_MiM,Zone_2B_2025 MS_MiM,Zone_3_2025 MS_MiM,Zone_1_2024 MS_MiM,Zone_2A_2024 MS_MiM,Zone_2B_2024 MS_MiM,Zone_3_2024 MS_MiM,Zone_1_2023 MS_MiM,Zone_2A_2023 MS_MiM,Zone_2B_2023 MS_MiM,Zone_3_2023 MS_MiM,Zone_1_2023 NS_MiU,Zone_2A_2023 NS_MiU,Zone_2B_2023 NS_MiU,Zone_3_2023 NS_MiU,Zone_1_2022 NS_MiU,Zone_2A_2022 NS_MiU,Zone_2B_2022 NS_MiU,Zone_3_2022 NS_MiU,Cooper et al. (2023),ECW Inc. (2022),Ipsen et al. (2013),Arens et al. (2007),Singh et al. (2000)
k__Metazoa;p__Chordata;c__Mammalia;o__Carnivora;f__Phocidae;g__Phoca;s__Phoca vitulina (harbor seal),Phoca vitulina,13369,6974,0,0,0,0,0,0,11598,5354,0,3464,7947,0,0,1078,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Chondrichthyes;o__Rajiformes;f__Rajidae;g__Leucoraja;s__Leucoraja erinaceus (little skate),Leucoraja erinaceus,2445,4,4257,0,6290,3766,4175,17592,2,597,10558,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Gasterosteidae;g__Apeltes;s__Apeltes quadracus (fourspine stickleback),Apeltes quadracus,21087,20,0,10,6196,0,0,0,10472,0,0,115,0,0,0,0,0,0,0,0,0,1,0,1,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cyclopteridae;g__Cyclopterus;s__Cyclopterus lumpus (lumpfish),Cyclopterus lumpus,13,27483,3995,23,0,0,0,0,0,4989,5,0,0,0,0,0,0,0,0,0,1,1,1,1,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Myoxocephalus;s__Myoxocephalus thompsonii (deepwater sculpin),Myoxocephalus thompsonii,0,0,0,0,2934,10031,0,23486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Echinodermata;c__Asteroidea;o__Forcipulatida;f__Asteriidae;g__Asterias;s__Asterias rubens (European starfish),Asterias rubens,9506,0,6667,11495,0,0,0,0,329,48,3570,111,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Myoxocephalus;s__Myoxocephalus scorpius (shorthorn sculpin),Myoxocephalus scorpius,7,13754,15856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Centrarchidae;g__Micropterus;s__Micropterus dolomieu (smallmouth bass),Micropterus dolomieu,0,0,0,0,0,0,0,0,29318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Leuciscidae;g__Semotilus;s__Semotilus corporalis (fallfish),Semotilus corporalis,0,0,0,0,0,0,0,0,28171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Leuciscidae;g__Semotilus;s__Semotilus atromaculatus (creek chub),Semotilus atromaculatus,0,0,0,0,3559,0,2,0,22289,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
