Species,2025 MS_Ler,2024 MS_Ler,2023 NS_LerXT,2022 NS_LerXT,Reinhart et al. (2025),Cooper & Blanchard (2023),Singh et al. (2000)
Thyasira gouldii,0,0,0,0,0,1,0
Prionospio cirrifera,0,0,0,0,0,1,0
Scalibregma inflatum,0,0,0,0,0,1,0
Phyllodoce mucosa,0,0,0,0,0,1,0
Saccoglossus kowalevskii,0,0,0,0,0,1,0
Pitar morrhuanus,0,0,0,0,0,1,0
Polycirrus medusa,0,0,0,0,0,1,0
Polydora websteri,0,0,0,0,0,1,0
Pontoporeia femorata,0,0,0,0,0,1,0
Nereis zonata,0,0,0,0,0,1,0
Praxillella praetermissa,0,0,0,0,0,1,0
Phyllodoce maculata,0,0,0,0,0,1,0
Phyllodoce groenlandica,0,0,0,0,0,1,0
Spio setosa,0,0,0,0,0,1,0
Spio filicornis,0,0,0,0,0,1,0
Priapulus caudatus,0,0,0,0,0,1,0
Paranais litoralis,0,0,0,0,0,1,0
Scoloplos armiger,0,0,0,0,0,1,0
Scoloplos acutus,0,0,0,0,0,1,0
Scoletoma tenuis,0,0,0,0,0,1,0
Scoletoma laurentiana,0,0,0,0,0,1,0
Scoletoma fragilis,0,0,0,0,0,1,0
Pholoe minuta,0,0,0,0,0,1,0
Phoronis muelleri,0,0,0,0,0,1,0
Phoronis psammophila,0,0,0,0,0,1,0
Phoxocephalus holbolli,0,0,0,0,0,1,0
Cerebratulus lacteus,0,0,0,0,0,1,0
Conopeum reticulum,0,0,0,0,0,1,0
Cossura longocirrata,0,0,0,0,0,1,0
Crassicorophium crassicorne,0,0,0,0,0,1,0
Dipolydora quadrilobata,0,0,0,0,0,1,0
Dulichia porrecta,0,0,0,0,0,1,0
Calanus finmarchicus,0,0,0,0,0,1,0
Bradabyssa villosa,0,0,0,0,0,1,0
Bostrichobranchus pilularis,0,0,0,0,0,1,0
Akanthophoreus gracilis,0,0,0,0,0,1,0
Alcyonidium,0,0,0,0,0,1,0
Alitta succinea,0,0,0,0,0,1,0
Ameritella agilis,0,0,0,0,0,1,0
Ampelisca abdita,0,0,0,0,0,1,0
Ampelisca vadorum,0,0,0,0,0,1,0
Ampharete acutifrons,0,0,0,0,0,1,0
Ampharete finmarchica,0,0,0,0,0,1,0
Anobothrus gracilis,0,0,0,0,0,1,0
Anomia peruviana,0,0,0,0,0,1,0
Apistobranchus tullbergi,0,0,0,0,0,1,0
Apistobranchus typicus,0,0,0,0,0,1,0
Argissa hamatipes,0,0,0,0,0,1,0
Aricidea catherinae,0,0,0,0,0,1,0
Aricidea suecica,0,0,0,0,0,1,0
Astyris lunata,0,0,0,0,0,1,0
Dyopedos monacanthus,0,0,0,0,0,1,0
Nephtys incisa,0,0,0,0,0,1,0
Hydrallmania falcata,0,0,0,0,0,1,0
Ilyanassa trivittata,0,0,0,0,0,1,0
Jaera albifrons,0,0,0,0,0,1,0
Kurtiella planulata,0,0,0,0,0,1,0
Lacuna pallidula,0,0,0,0,0,1,0
Levinsenia gracilis,0,0,0,0,0,1,0
Lumbrineris tetraura,0,0,0,0,0,1,0
Manayunkia aestuarina,0,0,0,0,0,1,0
Margarites costalis,0,0,0,0,0,1,0
Mediomastus ambiseta,0,0,0,0,0,1,0
Molgula arenata,0,0,0,0,0,1,0
Nephtys caeca,0,0,0,0,0,1,0
Nephtys ciliata,0,0,0,0,0,1,0
Halecium beanii,0,0,0,0,0,1,0
Edotia triloba,0,0,0,0,0,1,0
Edwardsia elegans,0,0,0,0,0,1,0
Einhornia moskvikvendi,0,0,0,0,0,1,0
Electra monostachys,0,0,0,0,0,1,0
Enipo torelli,0,0,0,0,0,1,0
Ennucula tenuis,0,0,0,0,0,1,0
Ensis leei,0,0,0,0,0,1,0
Eteone flava,0,0,0,0,0,1,0
Eucratea loricata,0,0,0,0,0,1,0
Eudorella truncatula,0,0,0,0,0,1,0
Eusyllis blomstrandi,0,0,0,0,0,1,0
Exogone dispar,0,0,0,0,0,1,0
Farrella repens,0,0,0,0,0,1,0
Galathowenia oculata,0,0,0,0,0,1,0
Globobulimina auriculata,0,0,0,0,0,1,0
Glycera capitata,0,0,0,0,0,1,0
Leitoscoloplos fragilis,0,0,0,0,0,1,0
Ophiopholis aculeata,0,0,0,0,0,0,1
Orchestia gammarellus,0,0,0,0,0,0,1
Tonicella marmorea,0,0,0,0,0,0,1
Psolus fabricii,0,0,0,0,0,0,1
Skeneopsis planorbis,0,0,0,0,0,0,1
Chalinula loosanoffi,0,0,0,0,0,0,1
Cucumaria frondosa,0,0,0,0,0,0,1
Dendronotus frondosus,0,0,0,0,0,0,1
Aeolidia papillosa,0,0,0,0,0,0,1
Ampithoe rubricata,0,0,0,0,0,0,1
Lineus ruber,0,0,0,0,0,0,1
Hyale nilssoni,0,0,0,0,0,0,1
Metridium senile,0,0,0,0,0,0,1
Musculus discors,0,0,0,0,0,0,1
Mysis stenolepis,0,0,0,0,0,0,1
Naineris quadricuspida,0,0,0,0,0,0,1
Homarus americanus,0,0,0,0,0,0,1
Haliclona oculata,0,0,0,0,0,0,1
Halichondria bowerbanki,0,0,0,0,0,0,1
Gammarellus angulosus,0,0,0,0,0,0,1
Gammarus mucronatus,0,0,0,0,0,0,1
