	Zone_2B_2_23	Zone_2B_3_23	Zone_2B_1_23	Zone_3_1_23	Zone_3_4_23	Zone_3_3_23	Zone_3_2_23	Zone_2A_12_23	Zone_2A_10_23	Zone_2A_1_23	Musq_25_23	Musq_27_23	Musq_29_23	Musq_31_23	Musq_19_23	Musq_01_23	Musq_03_23	Musq_05_23	Musq_07_23	Musq_09_23	Musq_11_23	Musq_13_23	Musq_15_23	Musq_17_23	Musq_21_23	Musq_23_23
Musq_27_23	160.74405125016136	142.78435154790793	142.20788714106084	139.6465893458415	152.85460027277477	148.4887361619722	138.17673087508948	149.92935099577682	133.34231901766108	134.54928810187334	136.8684437256807	0.0	133.09513601601114	135.0738819670961	146.90710026125674	302.06358449423453	287.98406151395477	241.23537702117366	217.68724245971362	203.40134312660044	180.50678830628226	177.30559868845472	163.48700262756842	155.84234199107348	150.25482377902924	143.04033858104424
Musq_29_23	150.1254973869629	139.514538893789	135.25798777198094	137.91875341801097	141.88959140912013	142.17617080623177	133.2386233895472	137.22445221703686	127.89798265660127	131.3011295617516	134.3731298759764	133.09513601601114	0.0	124.10387192683494	152.98344134362375	290.8408953284422	278.27590023400785	234.94968348602976	212.2324407840108	200.47062409958755	180.616187316616	177.8848516209792	168.58555020973907	161.14115533222756	156.9924977533429	148.7561925650501
Musq_31_23	148.51770701820274	144.0918311381907	135.10443543744228	141.3055256654386	142.56150856986787	142.01686611235496	138.17713377376845	137.3392435436473	130.13845608977817	132.94143783411687	130.64791438710552	135.0738819670961	124.10387192683494	0.0	156.55994562854963	285.08046734243135	273.18288851848376	228.9133082498606	207.9337522044848	196.16843546983364	178.02575251056294	176.46539001891	166.61780713766447	159.69319834662502	158.880414177289	151.98103244854747
Musq_19_23	176.68469627980815	156.44208351402912	162.2724310634568	145.38121787808984	176.44381329128427	164.37050741235518	160.6171475840892	178.39155336057735	151.6563295073833	147.38751975476572	139.95777931974402	146.90710026125674	152.98344134362375	156.55994562854963	0.0	301.8991526421074	286.6549592746933	238.956814289831	214.58045427305436	199.5517038483373	170.64161506152607	168.05102254447664	152.57208583516277	142.77211858569734	132.3187803830609	128.50025990288532
Musq_01_23	313.6762858262917	314.04241584901376	299.1556256581972	310.1026468778015	312.2631840809078	314.8029977480557	303.31617794356674	297.8747228455547	297.9331693978394	302.9123503684806	283.98757341687826	302.06358449423453	290.8408953284422	285.08046734243135	301.8991526421074	0.0	163.38110358040052	188.39533549370606	204.12954863123403	220.51095276797082	243.2879345175714	249.1817925719857	259.8707074287854	261.4804687777637	280.1123146332043	291.3272277360627
Musq_03_23	303.322256044187	301.43211013394455	287.8589141848682	296.542473315843	301.67332472933185	302.95399231741897	290.2544560151445	288.31573193286386	284.5285850369945	289.45951166767753	270.2798953575997	287.98406151395477	278.27590023400785	273.18288851848376	286.6549592746933	163.38110358040052	0.0	166.3721602789652	181.88409322403172	199.1693927725404	223.99838196506462	230.92642932045067	242.0543484817035	244.4158556830469	263.29157921124033	275.31175764526813
Musq_05_23	263.3181546300163	259.19818312188687	245.69894087231756	252.592745419715	262.17675390650413	261.27311373836045	247.21877047234477	248.60232117724965	240.19990132809068	245.20625853743013	223.71739147798758	241.23537702117366	234.94968348602976	228.9133082498606	238.956814289831	188.39533549370606	166.3721602789652	0.0	135.891897699209	148.80617062352016	171.64858728460018	180.28684304264243	190.6171573450441	193.0297798234461	214.61701788461363	226.26742567740072
Musq_07_23	243.75266116752513	236.79125379767888	223.71128365520352	230.2244010904051	242.03914774292494	240.17526695597468	225.58242745635187	228.02291722360005	216.5969627831154	222.53202445309375	199.0583037108039	217.68724245971362	212.2324407840108	207.9337522044848	214.58045427305436	204.12954863123403	181.88409322403172	135.891897699209	0.0	129.71683615716867	148.22279174636157	155.88581409659994	164.9026881554755	165.98479388316983	187.76525063749705	202.114887083144
Musq_09_23	231.83560001565584	223.86299686329076	212.6774674848174	215.70820829357987	230.9862809781446	227.00130855530043	212.6785036473616	219.60221562503986	203.62454510088966	210.03351139240968	184.93342463279052	203.40134312660044	200.47062409958755	196.16843546983364	199.5517038483373	220.51095276797082	199.1693927725404	148.80617062352016	129.71683615716867	0.0	131.22568546275107	138.1636480775912	146.83120845193272	149.26629011809771	170.2002635609235	184.66277656620346
Musq_11_23	214.23629240863292	202.92158959242204	193.85090450016276	193.80793446556734	213.76697072235046	207.11489137732156	192.7925955220622	203.35718758826823	184.0014879274594	188.30209541900626	160.136891402304	180.50678830628226	180.616187316616	178.02575251056294	170.64161506152607	243.2879345175714	223.99838196506462	171.64858728460018	148.22279174636157	131.22568546275107	0.0	117.87563450732978	121.12043857701266	121.72092074152974	140.97966562406077	154.40504173306877
