	Zone_2A_1_22	Zone_2A_10_22	Zone_2A_12_22	Zone_2B_1_22	Zone_2B_2_22	Zone_2B_3_22	Zone_3_1_22	Zone_3_2_22	Zone_3_3_22	Musq_01_22	Musq_02_22	Musq_04_22	Musq_06_22	Musq_07_22	Musq_08_22	Musq_11_22	Musq_15_22	Musq_16_22	Musq_19_22	Musq_20_22	Musq_22_22	Musq_24_22	Musq_26_22	Musq_28_22	Musq_30_22	Musq_32_22
Musq_06_22	0.5482581257820129	0.6214849948883057	0.6033938527107239	0.5740609765052795	0.595768928527832	0.5993826985359192	0.573796272277832	0.5617079138755798	0.6246837377548218	0.639079749584198	0.6537621021270752	0.5637303590774536	0	0.6069433689117432	0.5393787026405334	0.5329052209854126	0.5444489717483521	0.5786154270172119	0.560707151889801	0.5956072807312012	0.5997089147567749	0.6055880784988403	0.6057034730911255	0.5441997051239014	0.5853786468505859	0.5833045840263367
Musq_07_22	0.6859279274940491	0.6818708777427673	0.6929624676704407	0.702670156955719	0.684631884098053	0.7083998918533325	0.6867533922195435	0.6956338882446289	0.6638473272323608	0.6079082489013672	0.6033428907394409	0.5739874243736267	0.6069433689117432	0	0.6331217885017395	0.4931552112102509	0.612180769443512	0.6781185865402222	0.5934653282165527	0.6279926896095276	0.6580743789672852	0.6776419281959534	0.6686301231384277	0.6824142336845398	0.7000784873962402	0.7119657397270203
Musq_08_22	0.4316577911376953	0.5518029928207397	0.4765166044235229	0.5280075669288635	0.5216537714004517	0.4422355890274048	0.4704859256744385	0.4501321017742157	0.5383116006851196	0.6406062245368958	0.6540482640266418	0.5086997747421265	0.5393787026405334	0.6331217885017395	0	0.5865594148635864	0.5184177160263062	0.5515369176864624	0.5097340941429138	0.5481451153755188	0.4470604956150055	0.5157796740531921	0.5273330807685852	0.4630064368247986	0.48201784491539	0.4503227174282074
Musq_11_22	0.6261964440345764	0.6229009628295898	0.6515480279922485	0.6544064879417419	0.6332215666770935	0.660767674446106	0.6282806396484375	0.6441555023193359	0.5893233418464661	0.5578310489654541	0.5819130539894104	0.4709961414337158	0.5329052209854126	0.4931552112102509	0.5865594148635864	0	0.5630477070808411	0.6495537161827087	0.5235120058059692	0.5765939950942993	0.592909574508667	0.6239030361175537	0.6253511309623718	0.6316562294960022	0.6476764678955078	0.6524598598480225
Musq_15_22	0.5231977701187134	0.6068430542945862	0.5740545392036438	0.5821681618690491	0.5761030912399292	0.5637507438659668	0.5479785203933716	0.5036253333091736	0.6305854916572571	0.683340847492218	0.7056397795677185	0.6123994588851929	0.5444489717483521	0.612180769443512	0.5184177160263062	0.5630477070808411	0	0.531159520149231	0.5002135634422302	0.5533871054649353	0.5593988299369812	0.5678315162658691	0.5886661410331726	0.5213451981544495	0.5407205820083618	0.5745201110839844
Musq_16_22	0.5304701328277588	0.5944780111312866	0.4946187138557434	0.5441876649856567	0.5332976579666138	0.4952829778194427	0.5364975929260254	0.5341689586639404	0.5933411717414856	0.7364900708198547	0.7435266375541687	0.6479766964912415	0.5786154270172119	0.6781185865402222	0.5515369176864624	0.6495537161827087	0.531159520149231	0	0.5462341904640198	0.5707409381866455	0.5632084012031555	0.5233067870140076	0.5745922327041626	0.518176794052124	0.5397094488143921	0.5266445875167847
Musq_19_22	0.5057184100151062	0.5232040882110596	0.5428159832954407	0.54986572265625	0.5338721871376038	0.5125537514686584	0.527370274066925	0.5331595540046692	0.5645284056663513	0.6530610322952271	0.6736454367637634	0.5204037427902222	0.560707151889801	0.5934653282165527	0.5097340941429138	0.5235120058059692	0.5002135634422302	0.5462341904640198	0	0.5207013487815857	0.5263904929161072	0.4840596616268158	0.5193802118301392	0.5167985558509827	0.5180166959762573	0.5109797120094299
Musq_20_22	0.514773964881897	0.5476518869400024	0.5416243672370911	0.5453535318374634	0.5071315765380859	0.5248352289199829	0.5174686908721924	0.5078254342079163	0.465202659368515	0.655569851398468	0.6868706345558167	0.5508238077163696	0.5956072807312012	0.6279926896095276	0.5481451153755188	0.5765939950942993	0.5533871054649353	0.5707409381866455	0.5207013487815857	0	0.444210410118103	0.4720434546470642	0.5392934679985046	0.5082882046699524	0.4919188916683197	0.5527745485305786
Musq_22_22	0.454141765832901	0.5687970519065857	0.471412718296051	0.5237231850624084	0.5261563658714294	0.4349364638328552	0.4531938135623932	0.4376368522644043	0.458547443151474	0.6625908017158508	0.6893108487129211	0.5416771173477173	0.5997089147567749	0.6580743789672852	0.4470604956150055	0.592909574508667	0.5593988299369812	0.5632084012031555	0.5263904929161072	0.444210410118103	0	0.4959595799446106	0.5433036684989929	0.4748950004577637	0.4596085250377655	0.4772009551525116
Musq_24_22	0.4472555220127106	0.4712365865707397	0.3866464197635651	0.4948601722717285	0.4686188697814941	0.3969486653804779	0.4507792294025421	0.4618957042694092	0.4763832092285156	0.7071192264556885	0.7201589941978455	0.5993626117706299	0.6055880784988403	0.6776419281959534	0.5157796740531921	0.6239030361175537	0.5678315162658691	0.5233067870140076	0.4840596616268158	0.4720434546470642	0.4959595799446106	0	0.460402637720108	0.4559808075428009	0.4134492576122284	0.4212361872196198
