	Zone_2A_1_22	Zone_2A_10_22	Zone_2A_12_22	Zone_2B_1_22	Zone_2B_2_22	Zone_2B_3_22	Zone_3_1_22	Zone_3_2_22	Zone_3_3_22	Musq_01_22	Musq_02_22	Musq_04_22	Musq_06_22	Musq_07_22	Musq_08_22	Musq_11_22	Musq_15_22	Musq_16_22	Musq_19_22	Musq_20_22	Musq_22_22	Musq_24_22	Musq_26_22	Musq_28_22	Musq_30_22	Musq_32_22
Musq_02_22	190.70001832149433	215.53121889657328	205.8300434636696	222.6336656179618	216.5684178430099	206.4333362016791	202.9959865404961	195.71022570910122	207.50360258949442	111.8703936022539	0.0	140.69940834092603	184.82898461218306	166.21644146516488	163.35582897674263	170.13693751642236	188.6727773767418	203.60358795813693	190.08165061800182	204.19462580931133	187.87077274252405	212.3042334334374	222.83486003883343	203.59257463913661	204.24095766920314	201.58062473651128
Musq_04_22	136.19794459891835	170.3204347549544	152.26024628217047	172.41535838727913	165.84120115951652	151.84159116423496	149.36160694079655	142.71797472937533	155.50504264243122	130.6545553360727	140.69940834092603	0.0	137.08298092081304	146.1975571673672	106.69414857240645	124.81814317258244	139.6185349631879	152.81707620682354	135.9408846396927	150.1678252969744	130.55960733080326	159.85977062504358	172.34809981722535	153.09898638838595	154.10486927802845	149.48850167666643
Musq_06_22	150.7642737747628	180.464422122405	160.44479861187003	174.62524177982996	171.34170451661402	160.0543170671862	160.45457664875084	158.60141329325577	164.92580300713226	177.99856570039915	184.82898461218306	137.08298092081304	0.0	169.16837722542053	137.46119710530255	144.78970268962772	148.9788987942486	158.55107966113238	146.99489367176835	158.35998455148447	146.39493790590174	167.65319123667467	175.7938074290063	165.19883149183855	164.9203668188114	162.7063269208031
Musq_07_22	185.1507858400349	211.4464101717058	199.26292090252457	216.36314026598993	211.3121936722827	199.04932327989982	196.84412411869633	190.73955243100053	202.43922727618977	156.73106560158388	166.21644146516488	146.1975571673672	169.16837722542053	0.0	161.7944104542882	149.12649888193545	165.61750769632326	193.1623279249141	169.69588090288957	194.08257484518919	180.86524093952568	203.730397544612	215.18871127545123	196.39122761833704	194.7524917360212	197.77506841534048
Musq_08_22	117.27121785998992	151.62155148584216	129.68037316656535	151.47658809708955	145.24533097778698	127.79778935838604	124.20487776488237	125.13696755924714	132.3902927617476	153.6274490898296	163.35582897674263	106.69414857240645	137.46119710530255	161.7944104542882	0.0	126.9112655298235	127.51787854477577	136.12762384752506	123.6258655950089	130.25889953114557	109.06997573346207	139.18001755724782	150.15442123277305	133.84723899922076	134.8969237305448	126.25107944052394
Musq_11_22	152.37556676256682	184.00509821584632	164.7799189595723	184.01328640916077	178.35097308301647	164.44101930266095	162.3767357090517	159.49436218838275	168.63965054435818	160.74522584481875	170.13693751642236	124.81814317258244	144.78970268962772	149.12649888193545	126.9112655298235	0.0	131.14947761169844	160.34026118112996	133.24070289039747	159.1655803950366	145.61803489175108	170.09821739400934	180.27672681221904	165.21650154502112	161.67275727945176	164.33113224138287
Musq_15_22	140.87859380107614	173.42260518495158	151.14297145287722	169.72559673938056	165.0082145203952	151.04056686177074	147.93735917083094	149.28700662336936	156.5812487232172	182.30815871609911	188.6727773767418	139.6185349631879	148.9788987942486	165.61750769632326	127.51787854477577	131.14947761169844	0.0	150.10845017204744	127.52640178666235	146.8461753290176	135.9272741652472	158.0231098474338	166.96452007624106	155.35096833947142	151.04086465144408	151.4208476690623
Musq_16_22	132.21606466451505	158.62873849691164	131.3285607525005	148.7124243737506	143.79816314297798	131.38905199380469	130.5543547119186	137.8834692872348	138.43265017848182	196.37412435785413	203.60358795813693	152.81707620682354	158.55107966113238	193.1623279249141	136.12762384752506	160.34026118112996	150.10845017204744	0.0	142.7976286025817	134.88152596393735	127.83878820376037	141.8465907032441	147.3521163299222	142.9284533774438	143.25081921686072	134.85894801088796
Musq_19_22	127.679361884169	162.1217391477144	137.43064673209685	156.97843601471692	153.86960558068319	136.80035331178718	134.32463067951988	136.4090929237211	143.59255803777907	182.03011760041804	190.08165061800182	135.9408846396927	146.99489367176835	169.69588090288957	123.6258655950089	133.24070289039747	127.52640178666235	142.7976286025817	0.0	133.52927532612722	119.82463015208721	142.5121494049514	152.91937573215833	138.59328127458693	135.1464585991458	138.46358725666357
Musq_20_22	116.50638434285278	145.63938264486555	111.48626948801382	137.84271611692998	131.47502474192152	112.60335031905102	110.73256973405483	121.5604985978477	121.908048317584	197.1579229995265	204.19462580931133	150.1678252969744	158.35998455148447	194.08257484518919	130.25889953114557	159.1655803950366	146.8461753290176	134.88152596393735	133.52927532612722	0.0	110.63580726901753	123.01421847391835	134.45306660221712	124.16954067706628	120.27858211980926	115.7886940272443
Musq_22_22	97.94043639487666	134.1736628243621	98.91372930317935	126.53930542618059	119.328681936766	99.80381762575837	97.24075840628153	105.26740658005181	107.501148976154	180.5199161439074	187.87077274252405	130.55960733080326	146.39493790590174	180.86524093952568	109.06997573346207	145.61803489175108	135.9272741652472	127.83878820376037	119.82463015208721	110.63580726901753	0.0	112.29527928527682	125.90579161091581	111.27706846321814	110.19241650612452	102.2305603298303
Musq_24_22	109.87000337618929	136.70082759233634	98.0318858488608	125.22235414423122	118.24907467591872	100.13867763520545	98.67672629604974	112.0639429237153	108.38244000347858	205.08302122873803	212.3042334334374	159.85977062504358	167.65319123667467	203.730397544612	139.18001755724782	170.09821739400934	158.0231098474338	141.8465907032441	142.5121494049514	123.01421847391835	112.29527928527682	0.0	124.07570336173669	108.57403085557173	108.26674550074848	102.45256007408541
Musq_26_22	126.35411156025151	147.46857908458705	109.33073822299832	126.26870934390834	120.96628482677202	112.18459455664592	111.85665350746127	128.29993902302536	119.7644097271893	216.53748596966474	222.83486003883343	172.34809981722535	175.7938074290063	215.18871127545123	150.15442123277305	180.27672681221904	166.96452007624106	147.3521163299222	152.91937573215833	134.45306660221712	125.90579161091581	124.07570336173669	0.0	124.49164798441716	124.69751493994396	118.62344291615857
Musq_28_22	104.94873882306608	131.77877359110218	100.09501616310557	127.52874963847606	119.38112660220679	101.98778339983238	99.4801679594254	107.99438427162804	107.40734301021551	195.32890771885866	203.59257463913661	153.09898638838595	165.19883149183855	196.39122761833704	133.84723899922076	165.21650154502112	155.35096833947142	142.9284533774438	138.59328127458693	124.16954067706628	111.27706846321814	108.57403085557173	124.49164798441716	0.0	100.53041135476234	105.9691451577909
Musq_30_22	108.43458091163096	132.57424330993103	102.81894832902935	129.75843413332717	123.8512400094637	104.24791890194119	101.1490647179594	110.45122039165884	111.72959372956896	195.97879191288456	204.24095766920314	154.10486927802845	164.9203668188114	194.7524917360212	134.8969237305448	161.67275727945176	151.04086465144408	143.25081921686072	135.1464585991458	120.27858211980926	110.19241650612452	108.26674550074848	124.69751493994396	100.53041135476234	0.0	108.15422084779186
