	Zone_2B_2_23	Zone_2B_3_23	Zone_2B_1_23	Zone_3_1_23	Zone_3_4_23	Zone_3_3_23	Zone_3_2_23	Zone_2A_12_23	Zone_2A_10_23	Zone_2A_1_23	Musq_25_23	Musq_27_23	Musq_29_23	Musq_31_23	Musq_19_23	Musq_01_23	Musq_03_23	Musq_05_23	Musq_07_23	Musq_09_23	Musq_11_23	Musq_13_23	Musq_15_23	Musq_17_23	Musq_21_23	Musq_23_23
Musq_25_23	72.41003709665706	73.11349793891307	91.57698233468403	79.85887150531902	78.23499035471728	73.30448660363824	77.51409446033459	84.31872861956843	55.72712565315714	66.68883843559641	0.0	73.12179436037472	67.55699016905778	67.7514701342638	77.28049838004797	128.30927795467613	130.15922698926843	105.28098837316513	99.3478101980084	125.77473904098345	132.5295900952387	110.57331090883889	109.59343452657266	121.12745870251912	109.99737358341947	99.59468541941504
Musq_27_23	93.26284303398253	91.70848041594549	105.1684822828078	64.78985214164584	64.7673280630074	91.62154963966952	92.90187387322193	72.24457017961319	76.78200724201308	82.24886677223158	73.12179436037472	0.0	63.32869684918659	61.16269679184335	88.394531598659	123.9052086889636	126.39320821335387	99.0550337835573	92.06607297610657	119.6252661176918	124.70654067683749	101.82186301784186	99.94562441597084	111.91612608151789	118.98946339938942	110.45782943218455
Musq_29_23	78.29885698731148	78.42291876843228	96.37131178561299	68.36696347787117	65.98094062308253	79.39651891430535	84.09843142977907	75.53282822882963	66.23947870437176	72.79768388814969	67.55699016905778	63.32869684918659	0.0	61.95611533712856	83.54414396824176	129.32613964297695	132.71838260588737	107.50367444644597	101.18347208149228	127.90002464306896	133.05091517775043	111.18749211889336	110.6025089553948	121.22027461368845	116.9448431484091	107.23223100272973
Musq_31_23	80.43159234676578	79.89205708650121	97.97539301509778	66.24716205966514	61.92839408916639	81.63996346839852	86.2618515121414	71.12261637734518	66.6526400647058	75.94142872783424	67.7514701342638	61.16269679184335	61.95611533712856	0.0	89.39926532676098	125.29795852963883	129.10022133555688	103.65706642501264	97.23023263401039	125.11293144363455	132.28420353082208	110.14510199139323	109.43018899224968	120.14548461206147	118.98955550633397	110.52921474891417
Musq_19_23	85.54588370047553	83.14348185512921	100.7588672213102	89.49552685190166	95.45188452703908	82.06451299837514	88.23025476952598	105.71430497526302	79.10803180133612	76.67377036221228	77.28049838004797	88.394531598659	83.54414396824176	89.39926532676098	0.0	142.10306270151017	142.48414887376208	117.80102441146094	112.25448994166119	134.04913089467772	135.3611413717725	112.30509148774915	115.32459115162129	125.53323325751917	113.40448172394495	98.68060582991824
Musq_01_23	142.88767757411307	142.85464941125778	152.47001152514557	133.5967832725724	129.36617396088303	144.49976309184993	141.16712872586623	126.19003402489048	130.15055103935975	139.49249042402445	128.30927795467613	123.9052086889636	129.32613964297695	125.29795852963883	142.10306270151017	0.0	118.1847529588338	100.71897568390655	102.18371820430626	94.23739074904121	148.09662571174488	131.18396855390526	134.63022839132287	144.6703498199734	152.47324131449886	153.80262078712317
Musq_03_23	147.0947385217537	146.78162942838745	156.00053343769048	136.48620102762726	133.6167572774767	148.23762922422242	145.12216171007847	131.3130434344542	134.3085750730145	142.16042373351107	130.15922698926843	126.39320821335387	132.71838260588737	129.10022133555688	142.48414887376208	118.1847529588338	0.0	93.52755106807444	97.12822548568397	125.94396344923925	105.07054492462423	124.0703735134837	103.7012199362125	110.24255539617916	117.78320161769231	122.9047527871957
Musq_05_23	125.3444155771652	124.55604670819716	135.0011923183817	111.72349636877249	109.52245220341139	126.26347369776208	122.88023713502032	107.31839038348105	110.28183677727854	119.27446132243183	105.28098837316513	99.0550337835573	107.50367444644597	103.65706642501264	117.80102441146094	100.71897568390655	93.52755106807444	0.0	65.1350157308473	99.70007236945754	119.06328104314568	97.51970742992359	105.12571860169612	118.35298107182945	130.73601821717077	131.89602328348764
Musq_07_23	121.08449930489712	119.84922101255592	130.34164285733098	104.31079230682305	103.99940173133601	121.62955115379502	117.7795104184387	102.21510147028803	104.42890181647763	114.19758929771156	99.3478101980084	92.06607297610657	101.18347208149228	97.23023263401039	112.25448994166119	102.18371820430626	97.12822548568397	65.1350157308473	0.0	97.22020321374188	115.2756466177897	92.32642579868165	99.6210940725551	113.29944146051008	126.23394695902547	127.11687727701334
Musq_09_23	145.26603337465818	144.10645468970736	153.56217022606276	130.2891482805676	130.46506071511502	145.9044766446431	142.5025093471033	130.53749848557237	130.77505852431284	138.0739453838392	125.77473904098345	119.6252661176918	127.90002464306896	125.11293144363455	134.04913089467772	94.23739074904121	125.94396344923925	99.70007236945754	97.22020321374188	0.0	132.33953141581776	110.27649336389533	121.36020724083298	133.1031530737738	145.34302696602026	147.0527543503935
